Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
-0.408333,-0.681667,0.36,87.983333,0.728333,0.186667,0.059387,16.666667,7.845049,0.033193,0.666667,0.833333,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.0,-1
0.346667,-0.488333,0.143333,69.0,3.316667,-0.285,0.288412,16.666667,7.845049,0.033193,0.5,0.5,0.166667,0.166667,0.166667,0.833333,0.166667,0.166667,0.0,-1
-0.191667,0.231667,0.161667,35.233333,1.383333,-0.163333,0.869452,130.0,11.539912,1.994157,0.0,0.166667,0.333333,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.005,-0.436667,0.121667,-43.433333,1.011667,0.18,0.304216,65.0,5.939312,-0.007227,0.5,0.833333,0.333333,0.166667,0.5,0.5,0.0,0.0,0.0,-1
-0.223333,-0.578333,0.131667,-30.866667,0.315,0.316667,0.405678,113.333333,6.015,-0.005094,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-1
0.43,0.815,0.26,199.266667,6.295,-0.86,0.76284,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.726667,0.105,-0.253333,79.9,-2.77,0.87,0.311834,113.333333,6.015,-0.005094,0.0,0.333333,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.658333,-0.356667,0.031667,69.0,-1.151667,0.555,0.176052,48.333333,6.015,-0.005094,0.333333,0.666667,0.166667,0.166667,0.833333,0.166667,0.0,0.0,0.0,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,0.819007,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.663333,-0.62,-0.87,40.433333,5.81,-0.52,0.406848,65.0,2.655895,-5.003145,0.0,0.5,0.166667,0.0,0.166667,0.833333,0.833333,0.0,0.833333,-1
-0.301667,-0.32,0.148333,23.15,-0.21,0.456667,0.390068,16.666667,6.015,-0.005094,0.666667,0.666667,0.166667,0.333333,0.666667,0.333333,0.0,0.0,0.0,-1
-0.718333,0.046667,-0.261667,53.583333,-2.378333,0.73,0.276136,113.333333,6.015,-0.005094,0.0,0.5,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.713333,-0.136667,-0.09,67.733333,-2.185,0.661667,0.350004,130.0,6.015,-0.005094,0.166667,0.5,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
-0.176667,0.16,0.19,23.066667,2.203333,-0.32,0.71283,65.0,11.539912,1.994157,0.0,0.333333,0.166667,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.051667,-0.101667,-0.525,-10.616667,1.456667,0.17,0.495505,48.333333,2.810538,-2.004738,0.0,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,-1
-0.23,-0.533333,0.065,-18.383333,0.131667,0.305,0.412462,113.333333,6.015,-0.005094,0.5,0.833333,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-1
-0.036667,0.201667,0.438333,27.866667,6.661667,-0.943333,0.515396,16.666667,12.781557,2.994881,0.166667,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.0,-1
-0.713333,-0.136667,-0.09,67.733333,-2.185,0.661667,0.350004,130.0,6.015,-0.005094,0.166667,0.5,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
